Designator,Mid X,Mid Y,Rotation,Layer
R65,128.8,-107.775,180.0,top
R68,148.993891,-93.196947,270.0,top
R7,124.591246,-118.592022,90.0,top
R70,144.3,-90.2,90.0,top
R71,145.8,-90.2,270.0,top
R72,145.594975,-109.086933,90.0,top
R8,128.478325,-82.6,0.0,top
R9,127.091246,-118.592022,90.0,top
SW1,114.289293,-100.878004,270.0,top
SW2,141.725,-117.5,0.0,top
U1,118.7,-86.8,180.0,top
U12,175.684678,-85.359037,0.0,top
U13,178.3,-113.2,90.0,top
U14,177.35,-118.5625,0.0,top
U17,149.6,-77.7,0.0,top
U19,179.452178,-79.285637,90.0,top
U2,186.2,-95.0,0.0,top
U20,161.230238,-77.825457,90.0,top
U21,119.6,-92.7,270.0,top
U24,127.0,-100.37,90.0,top
U25,137.7,-91.6,270.0,top
U27,145.0,-100.37,90.0,top
U3,154.25,-101.5,270.0,top
U4,121.6,-111.25,270.0,top
U5,126.478325,-79.1,270.0,top
U6,174.55,-102.749999,90.0,top
Y2,171.854678,-77.185637,180.0,top
Y4,131.85,-107.775,90.0,top
Y5,143.419975,-110.236933,0.0,top
